token_id,name,description,image_url,source_id,rarity,types,category,illustrator,hp,stage,regulation_mark,set_id,set_name
001,Bulbasaur,"Bind Down: During your opponent's next turn, the Defending Pokémon can't retreat. 10",https://assets.tcgdex.net/en/me/me01/001/high.png,me01-001,Common,Grass,Pokemon,HYOGONOSUKE,80,Basic,I,me01,Mega Evolution
002,Ivysaur,Razor Leaf:  60,https://assets.tcgdex.net/en/me/me01/002/high.png,me01-002,Common,Grass,Pokemon,Takumi Wada,110,Stage1,I,me01,Mega Evolution
003,Mega Venusaur ex,"Solar Transfer: As often as you like during your turn, you may use this Ability. Move a Basic {G} Energy from 1 of your Pokémon to another of your Pokémon. Jungle Dump: Heal 30 damage from this Pokémon. 240",https://assets.tcgdex.net/en/me/me01/003/high.png,me01-003,Double rare,Grass,Pokemon,5ban Graphics,380,Stage2,I,me01,Mega Evolution
004,Exeggcute,"Jam-Packed: Search your deck for a Basic {G} Energy card and attach it to this Pokémon. Then, shuffle your deck.",https://assets.tcgdex.net/en/me/me01/004/high.png,me01-004,Common,Grass,Pokemon,aspara,60,Basic,I,me01,Mega Evolution
005,Exeggutor,"Guard Press: During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance). 30 / Stomping Wood: This attack does 30 more damage for each {G} Energy attached to this Pokémon. 60+",https://assets.tcgdex.net/en/me/me01/005/high.png,me01-005,Uncommon,Grass,Pokemon,Kazumasa Yasukuni,140,Stage1,I,me01,Mega Evolution
006,Tangela,Poison Powder: Your opponent's Active Pokémon is now Poisoned. / Hook:  30,https://assets.tcgdex.net/en/me/me01/006/high.png,me01-006,Common,Grass,Pokemon,Yuriko Akase,80,Basic,I,me01,Mega Evolution
007,Tangrowth,"Absorb: Heal 30 damage from this Pokémon. 30 / Pumped-Up Whip: If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 140 more damage. 120+",https://assets.tcgdex.net/en/me/me01/007/high.png,me01-007,Uncommon,Grass,Pokemon,REND,150,Stage1,I,me01,Mega Evolution
008,Chikorita,Razor Leaf:  20,https://assets.tcgdex.net/en/me/me01/008/high.png,me01-008,Common,Grass,Pokemon,kamonabe,70,Basic,I,me01,Mega Evolution
009,Bayleef,Push Down: Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) 50,https://assets.tcgdex.net/en/me/me01/009/high.png,me01-009,Common,Grass,Pokemon,nisimono,110,Stage1,I,me01,Mega Evolution
010,Meganium,Wild Growth: Each Basic {G} Energy attached to all of your Pokémon provides {G}{G} Energy. The effect of Wild Growth doesn't stack. Solar Beam:  140,https://assets.tcgdex.net/en/me/me01/010/high.png,me01-010,Rare,Grass,Pokemon,Yoriyuki Ikegami,160,Stage2,I,me01,Mega Evolution
011,Shuckle,"Fermented Juice: Once during your turn, if this Pokémon has any {G} Energy attached, you may use this Ability. Heal 30 damage from 1 of your Pokémon. Rollout:  30",https://assets.tcgdex.net/en/me/me01/011/high.png,me01-011,Uncommon,Grass,Pokemon,Shinya Komatsu,80,Basic,I,me01,Mega Evolution
012,Celebi,"Traverse Time: Search your deck for up to 3 in any combination of {G} Pokémon and Stadium cards, reveal them, and put them into your hand. Then, shuffle your deck. / Solar Cutter:  30",https://assets.tcgdex.net/en/me/me01/012/high.png,me01-012,Uncommon,Grass,Pokemon,Naoki Saito,80,Basic,I,me01,Mega Evolution
013,Seedot,Nap: Heal 20 damage from this Pokémon. / Seed Bomb:  20,https://assets.tcgdex.net/en/me/me01/013/high.png,me01-013,Common,Grass,Pokemon,Miki Tanaka,60,Basic,I,me01,Mega Evolution
014,Nuzleaf,Pound:  30 / Low Kick:  50,https://assets.tcgdex.net/en/me/me01/014/high.png,me01-014,Common,Grass,Pokemon,takashi shiraishi,100,Stage1,I,me01,Mega Evolution
015,Shiftry,"Reversing Gust: Flip a coin. If heads, choose 1 of your opponent's Pokémon. Shuffle that Pokémon and all attached cards into their deck. / Perplex: Your opponent's Active Pokémon is now Confused. 100",https://assets.tcgdex.net/en/me/me01/015/high.png,me01-015,Uncommon,Grass,Pokemon,Uninori,160,Stage2,I,me01,Mega Evolution
016,Nincada,Scratch:  20,https://assets.tcgdex.net/en/me/me01/016/high.png,me01-016,Common,Grass,Pokemon,Kuroimori,50,Basic,I,me01,Mega Evolution
017,Ninjask,"Cast-Off Shell: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Search your deck for a Shedinja and put it onto your Bench. Then, shuffle your deck. U-turn: Switch this Pokémon with 1 of your Benched Pokémon. 90",https://assets.tcgdex.net/en/me/me01/017/high.png,me01-017,Uncommon,Grass,Pokemon,Apios,80,Stage1,I,me01,Mega Evolution
018,Dhelmise,"Earthen Power: If you have a Stadium in play, this attack does 50 more damage. 30+",https://assets.tcgdex.net/en/me/me01/018/high.png,me01-018,Common,Grass,Pokemon,Haru Akasaka,120,Basic,I,me01,Mega Evolution
019,Vulpix,Stampede:  10 / Combustion:  20,https://assets.tcgdex.net/en/me/me01/019/high.png,me01-019,Common,Fire,Pokemon,Naoyo Kimura,70,Basic,I,me01,Mega Evolution
020,Ninetales,"Supernatural Shapeshifter: Discard the top card of your deck, and if that card is a Supporter card, use the effect of that card as the effect of this attack. / Combustion:  60",https://assets.tcgdex.net/en/me/me01/020/high.png,me01-020,Uncommon,Fire,Pokemon,satoma,120,Stage1,I,me01,Mega Evolution
021,Numel,"Call for Family: Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. / Flare:  30",https://assets.tcgdex.net/en/me/me01/021/high.png,me01-021,Common,Fire,Pokemon,Wintr Wandr,80,Basic,I,me01,Mega Evolution
